record_id,ArticleTitle,Contributor,Source,PublicationYear,Summary,Identifier
scholar_00091,Truth Discovery for Social Networks,Ines Okonkwo; Eric Ferreira; Nadia Johansson; Peng White,SIGMOD,2019,We introduce a new method for truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1091/sigmod.2019.00091
scholar_00078,Joint Causal Inference at Scale,Pedro Thomas; Jin Martinez; Marco Petrov,ACM SIGIR Conf. on Research and Development in IR,2006,We present a novel approach for joint causal inference at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1078/sigir.2006.00078
scholar_00471,Dense Retrieval via Social Networks,Natasha Zhang; Peng White; Alice Kovacs; Eric Ferreira,TKDE,2015,We present a novel approach for dense retrieval via social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1471/tkde.2015.00471
scholar_00304,Data Fusion: Challenges and Opportunities,Kenji Johnson,ACM Symposium on Principles of Database Systems,2016,This work addresses the problem of data fusion: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1304/pods.2016.00304
scholar_00122,Towards Parallel Graph Neural Networks,Ahmed Wilson; Peng White; Yuki Müller,ICDE,2002,We study the problem of towards parallel graph neural networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1122/icde.2002.00122
scholar_00204,Topic Modelling in the Wild,Peng White,VLDBJ,2012,We study the problem of topic modelling in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1204/vldbj.2012.00204
scholar_00273,Discriminative Differential Privacy at Scale,Nadia Johansson; Reza Yamamoto,EDBT,2009,This work addresses the problem of discriminative differential privacy at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1273/edbt.2009.00273
scholar_00474,Contrastive Learning in the Wild,Marco Petrov; David Nakamura; Eric Ferreira,The VLDB Journal,2018,This work addresses the problem of contrastive learning in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1474/vldbj.2018.00474
scholar_00320,A Scalable Framework for Query Processing,James Smith,ACM Int. Conf. on Web Search and Data Mining,2008,This work addresses the problem of a scalable framework for query processing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1320/wsdm.2008.00320
scholar_00049,Scalable Indexing: Challenges and Opportunities,Sophie Cohen; Robert Rossi,Int. World Wide Web Conference,2001,This work addresses the problem of scalable indexing: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1049/www.2001.00049
scholar_00165,Collaborative Filtering: A Context-Aware Approach,Emma Kim; Alex Thompson,AAAI,2021,This work addresses the problem of collaborative filtering: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1165/aaai.2021.00165
scholar_00179,Anomaly Detection Over Open Government Data,Fatima Patel; Pedro Thomas; Julia Hernandez; Jin Martinez,Knowledge and Information Systems,2011,We present a novel approach for anomaly detection over open government data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1179/kais.2011.00179
scholar_00390,Text Classification: A Generative Approach,Michael Brown; Tom Dubois; Alex Thompson,VLDB,2006,We present a novel approach for text classification: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1390/vldb.2006.00390
